[rosmaster.master][INFO] 2019-03-18 14:23:22,375: publisherUpdate[/rosout] -> http://chiliPC:38217/ ['http://chiliPC:46111/', 'http://chiliPC:45041/', 'http://chiliPC:39497/', 'http://chiliPC:42481/', 'http://chiliPC:41979/', 'http://chiliPC:40679/', 'http://chiliPC:43265/', 'http://chiliPC:39643/', 'http://chiliPC:33115/', 'http://chiliPC:46167/', 'http://chiliPC:39553/', 'http://chiliPC:38395/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-03-18 14:23:22,375: publisherUpdate[/rosout] -> http://chiliPC:38217/ ['http://chiliPC:46111/', 'http://chiliPC:45041/', 'http://chiliPC:39497/', 'http://chiliPC:42481/', 'http://chiliPC:41979/', 'http://chiliPC:40679/', 'http://chiliPC:43265/', 'http://chiliPC:39643/', 'http://chiliPC:33115/', 'http://chiliPC:46167/', 'http://chiliPC:39553/', 'http://chiliPC:38395/', 'http://chiliPC:40887/']
[rosmaster.master][INFO] 2019-03-18 14:23:22,376: publisherUpdate[/rosout] -> http://chiliPC:38217/ ['http://chiliPC:46111/', 'http://chiliPC:45041/', 'http://chiliPC:39497/', 'http://chiliPC:42481/', 'http://chiliPC:41979/', 'http://chiliPC:40679/', 'http://chiliPC:43265/', 'http://chiliPC:39643/', 'http://chiliPC:33115/', 'http://chiliPC:46167/', 'http://chiliPC:39553/', 'http://chiliPC:38395/', 'http://chiliPC:40887/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-03-18 14:23:22,398: +SUB [/cellulo_node_00_06_66_E7_8E_BD/setVisualEffect] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:38395/
[rosmaster.master][INFO] 2019-03-18 14:23:22,399: +SUB [/cellulo_node_00_06_66_E7_8A_D6/setVisualEffect] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:40887/
[rosmaster.master][INFO] 2019-03-18 14:23:22,401: +SUB [/cellulo_node_00_06_66_D2_CF_7B/setVisualEffect] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:39553/
[rosmaster.master][INFO] 2019-03-18 14:23:22,415: +SUB [/cellulo_node_00_06_66_E7_8E_BD/setLEDResponseMode] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:38395/
[rosmaster.master][INFO] 2019-03-18 14:23:22,416: +SUB [/cellulo_node_00_06_66_E7_8A_D6/setLEDResponseMode] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:40887/
[rosmaster.master][INFO] 2019-03-18 14:23:22,417: +SUB [/cellulo_node_00_06_66_D2_CF_7B/setLEDResponseMode] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:39553/
[rosmaster.master][INFO] 2019-03-18 14:23:22,430: +SUB [/cellulo_node_00_06_66_E7_8E_BD/setGoalVelocity] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:38395/
[rosmaster.master][INFO] 2019-03-18 14:23:22,431: +SUB [/cellulo_node_00_06_66_D2_CF_7B/setGoalVelocity] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:39553/
[rosmaster.master][INFO] 2019-03-18 14:23:22,432: +SUB [/cellulo_node_00_06_66_E7_8A_D6/setGoalVelocity] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:40887/
[rosmaster.master][INFO] 2019-03-18 14:23:22,445: +SUB [/cellulo_node_00_06_66_E7_8E_BD/reset] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:38395/
[rosmaster.master][INFO] 2019-03-18 14:23:22,445: +SUB [/cellulo_node_00_06_66_D2_CF_7B/reset] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:39553/
[rosmaster.master][INFO] 2019-03-18 14:23:22,446: +SUB [/cellulo_node_00_06_66_E7_8A_D6/reset] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:40887/
[rosmaster.master][INFO] 2019-03-18 14:23:22,456: +SUB [/cellulo_node_00_06_66_E7_8E_BD/clearTracking] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:38395/
[rosmaster.master][INFO] 2019-03-18 14:23:22,457: +SUB [/cellulo_node_00_06_66_E7_8A_D6/clearTracking] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:40887/
[rosmaster.master][INFO] 2019-03-18 14:23:22,458: +SUB [/cellulo_node_00_06_66_D2_CF_7B/clearTracking] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:39553/
[rosmaster.master][INFO] 2019-03-18 14:23:22,468: +SUB [/cellulo_node_00_06_66_E7_8E_BD/shutdown] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:38395/
[rosmaster.master][INFO] 2019-03-18 14:23:22,470: +SUB [/cellulo_node_00_06_66_E7_8A_D6/shutdown] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:40887/
[rosmaster.master][INFO] 2019-03-18 14:23:22,471: +SUB [/cellulo_node_00_06_66_D2_CF_7B/shutdown] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:39553/
[rosmaster.master][INFO] 2019-03-18 14:23:22,479: +SUB [/cellulo_node_00_06_66_E7_8E_BD/clearHapticFeedback] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:38395/
[rosmaster.master][INFO] 2019-03-18 14:23:22,483: +SUB [/cellulo_node_00_06_66_E7_8A_D6/clearHapticFeedback] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:40887/
